Region,Product,Channel,Month,Scenario,StoreId,CustomerSegment,Revenue,Cost,Units,Discount
North,Alpha,Online,Jan,Actual,S001,SMB,7077.75,4105.09,74,212.33
North,Alpha,Online,Jan,Actual,S001,MidMarket,7034.08,4079.77,74,211.02
North,Alpha,Online,Jan,Actual,S001,Enterprise,7215.41,4184.94,75,216.46
North,Alpha,Online,Jan,Actual,S002,SMB,7186.33,4168.07,75,215.59
North,Alpha,Online,Jan,Actual,S002,MidMarket,7173.66,4160.72,75,215.21
North,Alpha,Online,Jan,Actual,S002,Enterprise,7384.99,4283.29,77,221.55
North,Alpha,Online,Jan,Actual,S003,SMB,6977.91,4047.19,73,209.34
North,Alpha,Online,Jan,Actual,S003,MidMarket,7161.24,4153.52,75,214.84
North,Alpha,Online,Jan,Actual,S003,Enterprise,7693.57,4462.27,80,230.81
North,Alpha,Online,Jan,Actual,S004,SMB,6972.5,4044.05,73,209.17
North,Alpha,Online,Jan,Actual,S004,MidMarket,7492.82,4345.84,78,224.78
North,Alpha,Online,Jan,Actual,S004,Enterprise,7752.15,4496.25,81,232.56
North,Alpha,Online,Jan,Actual,S005,SMB,7433.08,4311.19,78,222.99
North,Alpha,Online,Jan,Actual,S005,MidMarket,7482.41,4339.8,78,224.47
North,Alpha,Online,Jan,Actual,S005,Enterprise,7473.73,4334.76,78,224.21
North,Alpha,Online,Jan,Actual,S006,SMB,7335.66,4254.68,77,220.07
North,Alpha,Online,Jan,Actual,S006,MidMarket,7475.99,4336.07,78,224.28
North,Alpha,Online,Jan,Actual,S006,Enterprise,7502.32,4351.35,78,225.07
North,Alpha,Online,Jan,Actual,S007,SMB,7105.24,4121.04,74,213.16
North,Alpha,Online,Jan,Actual,S007,MidMarket,7363.57,4270.87,77,220.91
North,Alpha,Online,Jan,Actual,S007,Enterprise,7653.9,4439.26,80,229.62
North,Alpha,Online,Jan,Actual,S008,SMB,7265.82,4214.18,76,217.97
North,Alpha,Online,Jan,Actual,S008,MidMarket,7631.15,4426.07,80,228.93
North,Alpha,Online,Jan,Actual,S008,Enterprise,7907.48,4586.34,83,237.22
North,Alpha,Online,Jan,Actual,S009,SMB,7216.41,4185.52,75,216.49
North,Alpha,Online,Jan,Actual,S009,MidMarket,7716.73,4475.7,81,231.5
North,Alpha,Online,Jan,Actual,S009,Enterprise,7757.06,4499.09,81,232.71
North,Alpha,Online,Jan,Budget,S001,SMB,6696.7,3884.09,70,200.9
North,Alpha,Online,Jan,Budget,S001,MidMarket,6875.45,3987.76,72,206.26
North,Alpha,Online,Jan,Budget,S001,Enterprise,7115.2,4126.82,74,213.46
North,Alpha,Online,Jan,Budget,S002,SMB,6662.89,3864.48,70,199.89
North,Alpha,Online,Jan,Budget,S002,MidMarket,6810.64,3950.17,71,204.32
North,Alpha,Online,Jan,Budget,S002,Enterprise,6921.39,4014.41,72,207.64
North,Alpha,Online,Jan,Budget,S003,SMB,6666.08,3866.33,70,199.98
North,Alpha,Online,Jan,Budget,S003,MidMarket,6950.83,4031.48,73,208.52
North,Alpha,Online,Jan,Budget,S003,Enterprise,7004.58,4062.66,73,210.14
North,Alpha,Online,Jan,Budget,S004,SMB,6904.27,4004.48,72,207.13
North,Alpha,Online,Jan,Budget,S004,MidMarket,7148.01,4145.85,75,214.44
North,Alpha,Online,Jan,Budget,S004,Enterprise,6918.76,4012.88,72,207.56
North,Alpha,Online,Jan,Budget,S005,SMB,6931.45,4020.24,72,207.94
North,Alpha,Online,Jan,Budget,S005,MidMarket,7168.2,4157.56,75,215.05
North,Alpha,Online,Jan,Budget,S005,Enterprise,7049.95,4088.97,74,211.5
North,Alpha,Online,Jan,Budget,S006,SMB,6953.64,4033.11,73,208.61
North,Alpha,Online,Jan,Budget,S006,MidMarket,7025.39,4074.73,73,210.76
North,Alpha,Online,Jan,Budget,S006,Enterprise,7196.14,4173.76,75,215.88
North,Alpha,Online,Jan,Budget,S007,SMB,6791.83,3939.26,71,203.75
North,Alpha,Online,Jan,Budget,S007,MidMarket,6941.58,4026.12,73,208.25
North,Alpha,Online,Jan,Budget,S007,Enterprise,7185.32,4167.49,75,215.56
North,Alpha,Online,Jan,Budget,S008,SMB,7193.01,4171.95,75,215.79
North,Alpha,Online,Jan,Budget,S008,MidMarket,7305.76,4237.34,76,219.17
North,Alpha,Online,Jan,Budget,S008,Enterprise,7300.51,4234.3,76,219.02
North,Alpha,Online,Jan,Budget,S009,SMB,6808.2,3948.76,71,204.25
North,Alpha,Online,Jan,Budget,S009,MidMarket,7015.95,4069.25,73,210.48
North,Alpha,Online,Jan,Budget,S009,Enterprise,7375.7,4277.91,77,221.27
North,Alpha,Online,Feb,Actual,S001,SMB,7136.66,4139.26,75,214.1
North,Alpha,Online,Feb,Actual,S001,MidMarket,7501.77,4351.03,78,225.05
